Word,Frequency,Rank
the,3326,1
to,2782,2
and,2782,3
of,2568,4
a,1591,5
in,1382,6
was,1336,7
her,1202,8
had,1186,9
she,1143,10
i,1117,11
it,1036,12
he,961,13
be,950,14
not,934,15
that,875,16
as,808,17
for,706,18
but,662,19
his,659,20
with,653,21
you,627,22
have,589,23
at,533,24
all,528,25
been,496,26
him,467,27
could,451,28
anne,445,29
very,433,30
they,432,31
were,425,32
by,416,33
which,415,34
is,398,35
on,396,36
so,358,37
no,356,38
would,355,39
captain,303,40
from,295,41
their,293,42
mrs,291,43
there,286,44
or,274,45
more,273,46
them,270,47
mr,255,48
elliot,254,49
this,250,50
an,245,51
than,243,52
one,230,53
must,228,54
when,228,55
my,222,56
being,220,57
only,218,58
lady,214,59
such,211,60
do,210,61
much,205,62
if,201,63
any,199,64
what,195,65
wentworth,191,66
who,190,67
should,188,68
me,188,69
little,176,70
said,173,71
good,169,72
might,166,73
own,163,74
did,162,75
now,158,76
will,158,77
herself,158,78
never,154,79
we,154,80
charles,153,81
time,151,82
sir,149,83
think,149,84
are,146,85
well,145,86
other,139,87
nothing,138,88
some,136,89
again,132,90
great,129,91
know,127,92
too,127,93
miss,125,94
am,125,95
how,125,96
your,124,97
most,123,98
see,123,99
man,123,100
walter,123,101
soon,122,102
mary,121,103
russell,118,104
though,117,105
before,116,106
quite,112,107
musgrove,111,108
first,111,109
two,110,110
always,110,111
without,108,112
can,107,113
bath,101,114
every,101,115
has,100,116
louisa,99,117
into,98,118
about,97,119
made,96,120
after,96,121
out,95,122
long,94,123
himself,94,124
father,94,125
seemed,93,126
say,93,127
having,92,128
thought,90,129
house,89,130
however,89,131
last,88,132
make,88,133
up,88,134
may,87,135
better,87,136
go,87,137
many,85,138
young,84,139
place,84,140
same,83,141
found,83,142
elizabeth,81,143
home,81,144
like,80,145
over,80,146
felt,80,147
ever,78,148
give,78,149
away,78,150
way,78,151
family,77,152
friend,77,153
uppercross,77,154
feelings,75,155
come,75,156
done,74,157
sure,73,158
kellynch,73,159
still,73,160
its,72,161
sister,72,162
upon,72,163
those,72,164
even,71,165
enough,71,166
then,70,167
while,69,168
off,69,169
back,68,170
came,68,171
room,67,172
lyme,67,173
benwick,66,174
day,66,175
henrietta,66,176
just,66,177
going,65,178
another,65,179
heard,65,180
something,64,181
mind,64,182
happy,64,183
present,64,184
our,64,185
here,63,186
harville,63,187
indeed,63,188
few,62,189
down,61,190
admiral,61,191
smith,61,192
party,61,193
acquaintance,61,194
knew,61,195
half,60,196
moment,60,197
almost,60,198
rather,60,199
morning,59,200
woman,59,201
years,58,202
seen,58,203
wish,58,204
yet,58,205
shall,57,206
clay,57,207
perhaps,56,208
once,56,209
look,56,210
dear,56,211
between,55,212
poor,55,213
together,54,214
evening,54,215
others,54,216
oh,54,217
hope,53,218
ought,52,219
these,52,220
till,52,221
saw,51,222
where,51,223
gone,51,224
anne's,50,225
life,49,226
character,49,227
anything,49,228
take,49,229
left,48,230
us,48,231
known,48,232
believe,48,233
certainly,48,234
side,47,235
yes,47,236
cried,47,237
old,46,238
short,46,239
croft,45,240
since,45,241
near,45,242
deal,45,243
possible,45,244
leave,44,245
feel,44,246
really,43,247
under,43,248
everything,43,249
interest,43,250
perfectly,43,251
manner,43,252
each,43,253
least,42,254
does,42,255
next,42,256
right,42,257
course,42,258
looked,42,259
cannot,42,260
best,42,261
whole,42,262
part,42,263
name,41,264
heart,41,265
musgroves,41,266
love,41,267
thing,41,268
spirits,41,269
sort,41,270
passed,40,271
idea,40,272
both,40,273
wife,40,274
hardly,40,275
hear,39,276
among,39,277
nor,39,278
people,38,279
agreeable,38,280
pleasure,38,281
three,38,282
themselves,37,283
seeing,37,284
account,37,285
hayter,37,286
company,37,287
visit,37,288
feeling,36,289
get,36,290
either,36,291
afterwards,35,292
head,35,293
whom,35,294
elliot's,35,295
walk,35,296
world,34,297
through,34,298
received,34,299
country,34,300
change,34,301
children,34,302
general,34,303
glad,33,304
determined,33,305
coming,33,306
wanted,33,307
began,33,308
tell,33,309
eyes,33,310
consequence,33,311
given,33,312
letter,33,313
manners,33,314
brought,33,315
towards,32,316
talked,32,317
word,32,318
object,32,319
whether,32,320
end,32,321
happiness,32,322
mother,32,323
men,31,324
replied,31,325
myself,31,326
answer,31,327
put,31,328
far,31,329
state,31,330
set,31,331
want,31,332
spoke,31,333
able,30,334
obliged,30,335
husband,30,336
russell's,30,337
went,30,338
often,30,339
called,30,340
conversation,30,341
looking,30,342
wallis,30,343
hour,30,344
full,30,345
fine,30,346
friends,30,347
less,30,348
gave,29,349
hours,29,350
strong,29,351
point,29,352
understand,29,353
fortune,29,354
camden,29,355
immediately,29,356
person,29,357
talk,29,358
wished,28,359
use,28,360
doing,28,361
brother,28,362
walked,28,363
thinking,28,364
return,28,365
therefore,28,366
pretty,28,367
former,28,368
hall,28,369
bad,28,370
wentworth's,27,371
acquainted,27,372
returned,27,373
met,27,374
else,27,375
against,27,376
marriage,27,377
let,27,378
gentleman,27,379
shepherd,27,380
subject,27,381
sensible,27,382
year,27,383
situation,27,384
attention,27,385
cousin,26,386
considered,26,387
minutes,26,388
because,26,389
speak,26,390
early,26,391
told,26,392
different,26,393
doubt,26,394
ladies,26,395
longer,26,396
taken,26,397
street,26,398
beginning,26,399
dalrymple,26,400
asked,26,401
marry,26,402
carriage,25,403
case,25,404
week,25,405
neither,25,406
circumstances,25,407
assure,25,408
attachment,25,409
nature,25,410
forward,25,411
regard,25,412
stay,25,413
new,25,414
business,25,415
married,24,416
taste,24,417
worth,24,418
engagement,24,419
suppose,24,420
likely,24,421
opinion,24,422
meet,24,423
degree,24,424
saying,24,425
chapter,24,426
crofts,24,427
eye,24,428
appearance,24,429
added,24,430
true,24,431
things,24,432
days,24,433
past,24,434
worse,24,435
high,23,436
mean,23,437
talking,23,438
find,23,439
beyond,23,440
satisfied,23,441
surprise,23,442
hand,23,443
night,23,444
sight,23,445
taking,23,446
colonel,23,447
making,23,448
father's,23,449
words,23,450
child,23,451
advantage,22,452
question,22,453
settled,22,454
equal,22,455
usual,22,456
within,22,457
face,22,458
decided,22,459
cottage,22,460
living,22,461
knowledge,22,462
frederick,22,463
real,22,464
women,22,465
excellent,22,466
got,21,467
means,21,468
bear,21,469
door,21,470
reason,21,471
whose,21,472
speaking,21,473
walking,21,474
help,21,475
alone,21,476
matter,21,477
ready,21,478
particularly,21,479
care,21,480
natural,21,481
ill,21,482
turned,21,483
believed,21,484
comfort,21,485
meeting,21,486
match,20,487
call,20,488
understanding,20,489
appeared,20,490
sorry,20,491
hands,20,492
none,20,493
kind,20,494
why,20,495
health,20,496
already,20,497
spoken,20,498
pain,20,499
concert,20,500
pleased,20,501
rest,20,502
influence,20,503
need,20,504
understood,20,505
cousins,19,506
wonder,19,507
supposed,19,508
used,19,509
value,19,510
voice,19,511
took,19,512
giving,19,513
conduct,19,514
sometimes,19,515
musgrove's,19,516
nobody,19,517
open,19,518
air,19,519
delighted,19,520
engaged,19,521
style,19,522
large,19,523
handsome,19,524
notice,19,525
lived,19,526
anybody,19,527
terms,18,528
probably,18,529
serious,18,530
hoped,18,531
