Word,Frequency,Rank
the,4087,1
to,4086,2
of,3569,3
and,3399,4
her,2514,5
a,2047,6
in,1930,7
i,1923,8
was,1845,9
it,1706,10
she,1573,11
that,1353,12
be,1292,13
not,1236,14
for,1233,15
as,1213,16
you,1154,17
he,1075,18
his,1015,19
had,994,20
with,984,21
at,831,22
have,816,23
but,809,24
is,747,25
by,746,26
on,692,27
all,647,28
so,634,29
him,633,30
elinor,618,31
my,614,32
which,590,33
could,573,34
no,548,35
from,537,36
mrs,526,37
would,514,38
they,510,39
very,497,40
their,496,41
marianne,490,42
them,462,43
were,440,44
been,438,45
this,429,46
what,428,47
me,423,48
more,404,49
any,390,50
said,387,51
your,378,52
every,374,53
than,360,54
such,354,55
will,354,56
or,345,57
an,340,58
do,319,59
one,317,60
when,300,61
if,290,62
much,287,63
only,286,64
must,282,65
own,269,66
who,265,67
herself,249,68
did,240,69
time,237,70
should,236,71
am,235,72
are,232,73
now,232,74
there,229,75
know,228,76
dashwood,224,77
how,218,78
might,215,79
sister,214,80
though,213,81
we,212,82
has,212,83
some,212,84
edward,210,85
well,209,86
miss,209,87
think,205,88
can,204,89
after,202,90
mother,200,91
jennings,198,92
before,197,93
never,186,94
thing,184,95
other,183,96
too,181,97
nothing,180,98
soon,178,99
mr,178,100
willoughby,176,101
without,173,102
may,173,103
see,171,104
ever,167,105
being,165,106
colonel,163,107
out,161,108
first,160,109
say,158,110
lucy,157,111
little,156,112
most,154,113
however,153,114
two,150,115
then,148,116
house,148,117
great,147,118
john,147,119
good,145,120
about,144,121
again,141,122
make,139,123
day,139,124
lady,137,125
made,137,126
its,133,127
sure,130,128
shall,127,129
give,126,130
even,123,131
always,123,132
heart,123,133
sir,119,134
thought,116,135
brandon,116,136
into,115,137
dear,115,138
man,114,139
saw,113,140
away,112,141
himself,112,142
ferrars,109,143
while,108,144
up,108,145
felt,105,146
young,103,147
last,102,148
long,102,149
same,100,150
still,100,151
enough,100,152
myself,100,153
replied,99,154
many,99,155
over,98,156
left,98,157
mind,98,158
go,98,159
room,97,160
upon,97,161
happy,97,162
come,97,163
less,96,164
kind,94,165
therefore,93,166
both,93,167
quite,92,168
where,91,169
seemed,91,170
world,90,171
indeed,90,172
believe,90,173
cannot,89,174
barton,89,175
came,89,176
tell,88,177
us,88,178
middleton,87,179
hope,86,180
almost,85,181
cried,85,182
moment,85,183
really,84,184
town,84,185
nor,83,186
till,83,187
present,83,188
family,82,189
morning,81,190
perhaps,80,191
place,79,192
few,79,193
like,79,194
affection,78,195
heard,78,196
better,77,197
down,76,198
love,76,199
yet,75,200
another,75,201
letter,74,202
our,74,203
rather,74,204
once,72,205
feelings,72,206
way,72,207
immediately,71,208
gave,71,209
wish,71,210
together,71,211
marianne's,71,212
something,71,213
found,71,214
brother,70,215
done,70,216
home,69,217
hear,69,218
between,68,219
told,68,220
just,68,221
look,68,222
spirits,68,223
far,68,224
least,68,225
subject,68,226
whom,67,227
person,67,228
whole,66,229
pleasure,66,230
feel,65,231
towards,65,232
hardly,65,233
woman,65,234
against,65,235
poor,64,236
palmer,63,237
happiness,63,238
behaviour,63,239
these,63,240
because,63,241
engagement,63,242
acquaintance,62,243
opinion,62,244
three,62,245
friends,61,246
looked,61,247
visit,61,248
elinor's,61,249
knew,61,250
since,61,251
cottage,60,252
comfort,60,253
certainly,60,254
others,59,255
known,59,256
within,59,257
having,58,258
each,58,259
speak,58,260
leave,58,261
brought,58,262
going,58,263
attention,57,264
off,57,265
eyes,56,266
oh,56,267
manner,56,268
life,56,269
short,56,270
seen,56,271
here,56,272
continued,56,273
half,55,274
yes,55,275
general,55,276
find,55,277
wished,54,278
side,54,279
end,54,280
suppose,54,281
does,54,282
situation,54,283
reason,53,284
rest,53,285
sister's,53,286
norland,53,287
people,53,288
returned,52,289
given,52,290
next,51,291
park,51,292
longer,51,293
friend,51,294
often,51,295
under,51,296
took,51,297
chapter,50,298
voice,50,299
married,50,300
already,49,301
regard,49,302
body,49,303
passed,49,304
possible,49,305
went,49,306
farther,49,307
part,48,308
party,48,309
evening,48,310
those,48,311
whose,48,312
minutes,47,313
matter,47,314
word,47,315
thousand,47,316
why,47,317
street,47,318
beyond,46,319
mother's,46,320
obliged,46,321
determined,46,322
sisters,46,323
years,46,324
able,46,325
particular,46,326
neither,45,327
business,45,328
doubt,45,329
take,45,330
power,44,331
glad,44,332
else,44,333
marriage,44,334
account,44,335
old,43,336
perfectly,43,337
put,43,338
called,43,339
name,43,340
interest,43,341
edward's,43,342
directly,42,343
kindness,42,344
days,42,345
whether,42,346
wife,42,347
entirely,42,348
seeing,41,349
return,41,350
fanny,41,351
added,41,352
began,41,353
engaged,40,354
carriage,40,355
pounds,40,356
conversation,40,357
want,40,358
surprise,40,359
equally,40,360
talk,40,361
four,39,362
saying,39,363
received,39,364
back,39,365
entered,39,366
whatever,39,367
greater,38,368
hand,38,369
child,38,370
themselves,38,371
point,38,372
hours,38,373
fortune,38,374
real,38,375
steele,38,376
expected,38,377
mean,37,378
sat,37,379
satisfaction,37,380
coming,37,381
giving,37,382
spent,37,383
husband,37,384
door,37,385
through,37,386
means,37,387
yourself,37,388
wonder,36,389
year,36,390
impossible,36,391
settled,36,392
ought,36,393
conduct,36,394
live,36,395
ask,36,396
dare,36,397
open,36,398
daughter,36,399
object,36,400
spite,35,401
willoughby's,35,402
pretty,35,403
head,35,404
appeared,35,405
call,35,406
silent,35,407
arrival,35,408
dashwoods,35,409
spoke,35,410
either,34,411
particularly,34,412
girl,34,413
ready,34,414
manners,34,415
london,34,416
attachment,33,417
care,33,418
case,33,419
gone,33,420
character,33,421
answer,33,422
week,33,423
night,33,424
ladies,33,425
deal,33,426
months,33,427
sorry,33,428
children,33,429
living,32,430
country,32,431
talked,32,432
set,32,433
hour,32,434
near,32,435
invitation,32,436
margaret,32,437
afterwards,32,438
pleased,32,439
silence,32,440
ma'am,32,441
sake,32,442
