Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Public Service Aide,34013.789743386245,12081.252502645502,35.51868990133515
Park & Zoo,65363.66462962963,22168.76972222222,33.916044713583915
Energy & Environment,43219.5,14254.41,32.98143199250339
Revenue,47641.78176666667,15629.20408888889,32.805666600454714
Museum & Cultural Affairs,83926.07,27037.39,32.215722718816686
Housekeeping & Laundry,78212.25968306378,24222.12511725066,30.969729317890764
Street Transit,93512.36841761971,28657.360756321457,30.645529828032675
Recreation,17940.71920833333,5478.129666666667,30.534615714414155
Dietary & Food,52375.86135777778,15905.132665555555,30.36729564580928
Computer Operatns & Repro Svcs,62074.04558680555,18707.19928819445,30.13691005854281
Semi-Skilled & General Labor,78944.4459994952,23523.724721100458,29.79782101612427
Agriculture & Horticulture,94075.71176923081,27886.590323361816,29.642709897075303
Hospital Administration,101924.95416666666,30206.15696969697,29.63568364259862
Med Therapy & Auxiliary,81334.19391887904,24068.19853244837,29.591734266713782
"Payroll, Billing & Accounting",94700.32905999999,28021.172986666672,29.58930899692343
"Clerical, Secretarial & Steno",24424.69328124319,7166.984746564886,29.343192416130492
Information Systems,85742.39963157896,25076.288771929827,29.246077646157016
Purchasing & Storekeeping,92451.02252,27021.74204666666,29.228170019234806
Pub Relations & Spec Assts,98635.98199999999,28819.732,29.21827452379397
Personnel,34685.2414845679,10111.660891975309,29.152632241220438
Property Administration,93551.40999999999,26791.14333333333,28.637882992178664
"Budget, Admn & Stats Analysis",79834.02993750002,22721.521375,28.460947534263383
Human Services,100833.91301512963,28648.365986791534,28.41143929671061
SF Superior Court,48377.159999999996,13636.096666666666,28.187054938046526
Health & Sanitation Inspection,133347.449,37237.51775,27.92518194330062
Sub-Professional Engineering,74043.23261764705,20620.494906862743,27.849263434168552
Airport Operation,122059.01167139482,33661.15225531915,27.577768977796683
Protection & Apprehension,103759.24758706894,28576.101064655144,27.540775139753865
Professional Engineering,96624.48077380951,26174.420654761903,27.08880859710306
Skilled Labor,104750.34897315851,28135.37064044943,26.859452895626063
Construction Inspection,113636.7500898526,30346.774370606574,26.70507062777787
Port Operation,121815.55,32223.25,26.45249313408674
Legal & Court,114357.3222222222,30144.47472839506,26.359899080023503
Journeyman Trade,131843.697547884,34033.173710559124,25.81327309801722
"Lab, Pharmacy & Med Techs",122504.91876049379,31432.09186049383,25.657820256136738
Nursing,92637.7094435417,23309.28339583332,25.161765695469
Probation & Parole,117866.34829411765,29549.567117647057,25.0704018113046
Public Safety Inspection,151844.5751231884,37823.0650326087,24.909065735093673
Supervisory-Labor & Trade,148397.82052944865,36258.268409774435,24.433154260900483
Correction & Detention,139648.70685842916,32598.79686015324,23.34342908968053
Administrative-Labor & Trades,162831.63255952383,35398.450119047615,21.73929571461341
Medical & Dental,122705.56892857142,25577.22690476191,20.844389645958742
Fire Services,187040.45198336485,38669.03829427625,20.674157854214034
Police Services,161534.04747356992,32260.586181405582,19.971384786036538
