Hillary,Trump,Date
20,17,20160701
39,34,20160702
56,49,20160703
71,69,20160704
95,92,20160705
113,105,20160706
136,123,20160707
152,148,20160708
170,164,20160709
174,170,20160710
185,191,20160711
198,203,20160712
215,206,20160713
230,222,20160714
247,233,20160715
261,252,20160716
267,273,20160717
269,288,20160718
285,308,20160719
294,320,20160720
310,328,20160721
318,341,20160722
342,351,20160723
362,358,20160724
386,366,20160725
409,377,20160726
429,391,20160727
455,404,20160728
475,423,20160729
488,437,20160730
511,449,20160731
527,467,20160801
544,488,20160802
558,499,20160803
575,520,20160804
589,534,20160805
602,550,20160806
624,564,20160807
636,585,20160808
658,607,20160809
682,636,20160810
700,655,20160811
723,682,20160812
737,709,20160813
741,728,20160814
755,757,20160815
770,783,20160816
785,808,20160817
795,825,20160818
811,845,20160819
821,871,20160820
826,889,20160821
842,904,20160822
859,919,20160823
870,944,20160824
885,966,20160825
907,986,20160826
923,1007,20160827
936,1033,20160828
944,1047,20160829
959,1061,20160830
971,1085,20160831
980,1104,20160901
991,1124,20160902
1008,1140,20160903
1018,1152,20160904
1036,1170,20160905
1054,1187,20160906
1071,1208,20160907
1095,1226,20160908
1109,1245,20160909
1125,1261,20160910
1143,1272,20160911
1155,1283,20160912
1175,1294,20160913
1192,1302,20160914
1209,1314,20160915
1226,1331,20160916
1244,1344,20160917
1257,1359,20160918
1270,1367,20160919
1284,1375,20160920
1296,1404,20160921
1314,1410,20160922
1330,1421,20160923
1345,1442,20160924
1358,1448,20160925
1374,1461,20160926
1397,1470,20160927
1413,1488,20160928
1433,1502,20160929
1450,1521,20160930
1469,1540,20161001
1484,1562,20161002
1496,1574,20161003
1507,1593,20161004
1524,1602,20161005
1537,1619,20161006
1549,1630,20161007
1564,1644,20161008
1581,1661,20161009
1601,1685,20161010
1618,1693,20161011
1636,1707,20161012
1651,1722,20161013
1680,1732,20161014
1698,1746,20161015
1707,1767,20161016
1721,1784,20161017
1736,1794,20161018
1754,1813,20161019
1774,1832,20161020
1794,1852,20161021
1810,1860,20161022
1823,1885,20161023
1843,1896,20161024
1860,1908,20161025
1875,1919,20161026
1894,1933,20161027
1909,1955,20161028
1925,1966,20161029
1940,1977,20161030
1958,1982,20161031
1975,2001,20161101
1993,2013,20161102
2011,2028,20161103
2036,2040,20161104
2053,2053,20161105
2070,2060,20161106
2086,2074,20161107
